source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2019-01-01,1,2019-01-01T00:00:00Z,15.00,15.00,-1058.31,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,2,2019-01-01T00:30:00Z,15.00,15.00,-664.29,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,3,2019-01-01T01:00:00Z,16.00,16.00,-1033.91,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,4,2019-01-01T01:30:00Z,16.00,16.00,-1319.34,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,5,2019-01-01T02:00:00Z,16.00,16.00,-1180.86,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,6,2019-01-01T02:30:00Z,15.00,15.00,-798.21,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,7,2019-01-01T03:00:00Z,15.00,15.00,-514.49,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,8,2019-01-01T03:30:00Z,30.00,30.00,-429.08,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,9,2019-01-01T04:00:00Z,15.00,15.00,-350.06,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,10,2019-01-01T04:30:00Z,15.00,15.00,-329.74,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,11,2019-01-01T05:00:00Z,15.00,15.00,-254.33,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,12,2019-01-01T05:30:00Z,15.00,15.00,-19.40,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,13,2019-01-01T06:00:00Z,63.50,63.50,127.89,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,14,2019-01-01T06:30:00Z,17.62,17.62,-263.49,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,15,2019-01-01T07:00:00Z,16.80,16.80,-1176.12,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,16,2019-01-01T07:30:00Z,16.80,16.80,-1123.15,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,17,2019-01-01T08:00:00Z,15.00,15.00,-1197.37,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,18,2019-01-01T08:30:00Z,30.00,30.00,-761.32,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,19,2019-01-01T09:00:00Z,30.10,30.10,-538.53,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,20,2019-01-01T09:30:00Z,40.15,40.15,-120.44,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,21,2019-01-01T10:00:00Z,67.00,67.00,215.30,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,22,2019-01-01T10:30:00Z,30.10,30.10,-183.88,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,24,2019-01-01T11:30:00Z,35.00,35.00,-524.42,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,25,2019-01-01T12:00:00Z,20.00,20.00,-634.39,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,26,2019-01-01T12:30:00Z,38.00,38.00,-354.81,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,27,2019-01-01T13:00:00Z,44.50,44.50,-116.00,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,28,2019-01-01T13:30:00Z,31.31,31.31,-186.90,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,29,2019-01-01T14:00:00Z,38.00,38.00,-196.38,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,30,2019-01-01T14:30:00Z,43.00,43.00,-284.76,2026-05-26T02:17:56.739338Z
Elexon BMRS System Prices,2019-01-01,31,2019-01-01T15:00:00Z,38.00,38.00,-413.06,2026-05-26T02:17:56.739338Z
