source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2020-01-01,1,2020-01-01T00:00:00Z,50.90,50.90,54.34,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,2,2020-01-01T00:30:00Z,51.00,51.00,194.71,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,3,2020-01-01T01:00:00Z,29.37,29.37,-71.43,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,4,2020-01-01T01:30:00Z,28.52,28.52,-122.23,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,5,2020-01-01T02:00:00Z,25.78,25.78,-90.90,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,6,2020-01-01T02:30:00Z,24.77,24.77,-140.42,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,7,2020-01-01T03:00:00Z,50.50,50.50,155.87,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,8,2020-01-01T03:30:00Z,50.00,50.00,34.41,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,9,2020-01-01T04:00:00Z,23.93,23.93,-45.81,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,10,2020-01-01T04:30:00Z,23.93,23.93,-102.33,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,11,2020-01-01T05:00:00Z,6.00,6.00,-321.81,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,12,2020-01-01T05:30:00Z,6.00,6.00,-225.67,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,13,2020-01-01T06:00:00Z,23.82,23.82,-28.10,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,14,2020-01-01T06:30:00Z,31.69,31.69,145.25,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,15,2020-01-01T07:00:00Z,23.98,23.98,-7.68,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,16,2020-01-01T07:30:00Z,52.00,52.00,106.36,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,17,2020-01-01T08:00:00Z,52.00,52.00,112.34,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,18,2020-01-01T08:30:00Z,52.00,52.00,175.87,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,19,2020-01-01T09:00:00Z,52.00,52.00,189.00,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,20,2020-01-01T09:30:00Z,51.00,51.00,2.08,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,21,2020-01-01T10:00:00Z,51.90,51.90,141.10,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,22,2020-01-01T10:30:00Z,51.00,51.00,44.73,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,23,2020-01-01T11:00:00Z,25.59,25.59,-7.02,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,24,2020-01-01T11:30:00Z,7.50,7.50,-86.21,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,25,2020-01-01T12:00:00Z,51.90,51.90,314.23,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,26,2020-01-01T12:30:00Z,51.90,51.90,348.90,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,27,2020-01-01T13:00:00Z,51.00,51.00,434.48,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,28,2020-01-01T13:30:00Z,51.00,51.00,268.72,2026-05-26T02:13:38.379066Z
Elexon BMRS System Prices,2020-01-01,29,2020-01-01T14:00:00Z,50.75,50.75,86.49,2026-05-26T02:13:38.379066Z
