capturedAtUTC,priceTimeUTC,settlementDate,settlementPeriod,priceGBPperMWh,carbonGperKWh,carbonForecast,carbonIndex,source,priceHealth,carbonHealth
2026-05-25T20:40:56.403102Z,2026-05-25T17:30:00Z,2026-05-25,36,130.68,182,182,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-25T21:49:10.410746Z,2026-05-25T21:30:00Z,2026-05-25,44,122.58,177,176,high,Elexon BMRS Market Index Data,ok,ok
2026-05-25T22:44:44.006093Z,2026-05-25T22:30:00Z,2026-05-25,46,108.60,164,170,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-25T23:45:40.276550Z,2026-05-25T23:30:00Z,2026-05-25,48,108.28,165,169,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-26T05:39:46.664563Z,2026-05-26T01:00:00Z,2026-05-26,3,107.41,171,187,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-26T08:52:32.789659Z,2026-05-26T08:30:00Z,2026-05-26,18,123.61,149,168,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-26T19:36:55.389474Z,2026-05-26T14:00:00Z,2026-05-26,29,115.02,193,204,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-26T22:40:01.427763Z,2026-05-26T21:00:00Z,2026-05-26,43,124.62,179,191,high,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-26T23:45:22.580325Z,2026-05-26T23:30:00Z,2026-05-26,48,108.53,148,153,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T01:52:18.197555Z,2026-05-27T01:30:00Z,2026-05-27,4,103.10,126,132,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T06:04:03.838407Z,2026-05-27T05:30:00Z,2026-05-27,12,122.37,141,140,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T10:13:42.734168Z,2026-05-27T10:00:00Z,2026-05-27,21,92.52,73,79,low,Elexon BMRS Market Index Data,ok,ok
2026-05-27T13:48:14.528420Z,2026-05-27T13:30:00Z,2026-05-27,28,79.23,55,54,low,Elexon BMRS Market Index Data,ok,ok
2026-05-27T21:07:49.169605Z,2026-05-27T16:30:00Z,2026-05-27,34,78.56,152,146,moderate,Elexon BMRS Market Index Data,warning: zero market price rejected; previous valid value preserved,ok
2026-05-27T22:48:21.851709Z,2026-05-27T22:30:00Z,2026-05-27,46,109.82,125,140,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-27T23:49:27.924120Z,2026-05-27T23:30:00Z,2026-05-27,48,104.79,118,123,moderate,Elexon BMRS Market Index Data,ok,ok
2026-05-28T01:26:56.457810Z,2026-05-28T01:00:00Z,2026-05-28,3,99.08,106,110,moderate,Elexon BMRS Market Index Data,ok,ok
